Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
meister-candle-jade,XX Meister Candle test,"Der Meister ist mehr als nur eine Kerze. Er steckt voller <strong><span style=""color: #000000;""><a title=""Symbolik und Philosophie"" href=""https://candlesofwisdom.com/pages/info"" target=""_blank"">Symbolik</a></span></strong> und spielt mit der Vergänglichkeit der Schönheit. Zündest Du die Kerze an oder ist sie zu schade dazu? Einfach ist die Entscheidung nicht, doch der Meister lockt mit einer Besonderheit und belohnt diejenigen die sich trauen: Nach dem Wegschmelzen offenbart er eine Glücksmünze, auf der alte Weisheiten verewigt sind.<br><br>Die Herstellung unserer mehrfarbigen Modelle ist sehr aufwendig, wobei das Endresultat nie ganz vorhersehbar ist. Jeder Meister ist ein Unikat mit individuellem Charme und variiert leicht im Aussehen. <br> <br><strong>Material:</strong> Rapswachs Komposition mit Paraffinanteil, Baumwolldocht, Metallmünze<br><strong>Farbe:</strong> Schwarz, Jadegrün, durchgefärbt, glanzbeschichtet, RAL Kerzengüte Qualität<br><strong>Brenndauer:</strong> 30h<br><strong>Größe:</strong>19cm<br><strong>Geruch: </strong>neutral<br>",Candles of Wisdom,,Buddha Candle,"__tab1:philosophie, coin, free, handmade, noplastic, sustainable, vegan",false,Title,Default Title,,,,,CoW-MC-Jade,430.0,shopify,0,deny,manual,39.90,39.90,true,true,"",https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-Buddha-Skulptur-Kerze-Jade_dec6fc14-87d0-4728-938e-497115cd8038.png?v=1616680280,1,,false,Meister Candle Jade - Candles Of Wisdom,"Die Meister Kerze - auch bekannt als Burning Buddha - steckt voller Symbolik und spielt mit der Vergänglichkeit der Schönheit. Nach dem Wegschmelzen offenbart sie eine Glücksmünze, auf der alte Weisheiten verewigt sind. Sie ist geeignet als Meditationskerze zur Meditationsbegleitung und ist für spirituell suchende Menschen und Yogis ein hervorragendes Geschenk.
Die Herstellung unserer mehrfarbigen Modelle ist sehr aufwendig und geschieht in Handarbeit in Hamburg. Hauptbestandteil der Kerze ist Rapswachs. Jede unserer Kerzen kommt in einer plastikfreien Produktverpackung. ",,,,,,,,,,,,,,,kg,,3.80,draft
meister-candle-jade,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-Buddha-Figur-Jade-Kerze_ec6ac94c-0615-4237-adb0-3f00734d109d.jpg?v=1616680280,2,,,,,,,,,,,,,,,,,,,,,,
meister-candle-jade,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Buddha-Burning-Buddha-Kerze-Schwarz-weiss-jade_b13844d8-ced0-4a2b-8c7c-1af10ed9cbdc.jpg?v=1616680280,3,,,,,,,,,,,,,,,,,,,,,,
meister-candle-jade,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Buddha-Burning-Buddha-Kerze-Schwarz-weiss-jade2_e4094db2-8bf8-47cc-92eb-489f75bb1ba9.jpg?v=1616680280,4,,,,,,,,,,,,,,,,,,,,,,
meister-candle-jade,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-Buddha-Coin-of-Wisdom2_cfb0ee27-428e-454e-8406-10055d49e7b2.jpg?v=1616680280,5,,,,,,,,,,,,,,,,,,,,,,
meister-candle-jade,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Burning-Buddha-Verpackung_635d46cb-39db-46d7-a1de-dd1f33ac9337.jpg?v=1616680281,6,,,,,,,,,,,,,,,,,,,,,,
sun-candle,Sun Candle,"<p>Die Sonnenkerze spielt mit der Transluzenz des Kerzenwachses. Durch die raffinierte Formgebung leuchtet sie wie eine Sonne und kreiert eine außergewöhnliche Atmosphäre im Raum. Das flackernde Licht fesselt Deinen Blick und lässt ihn nicht mehr los.<br><br>Auch in der Sonnenkerze wartet die Münze der Weisheit auf Dich. Erst nach dem Abbrennen kommt die versteckte Botschaft zum Vorschein. Welche Weisheit Deine Kerze für Dich bereit hält, entscheidet der Zufall - falls es ihn gibt.</p>
<p><strong>Material: </strong><span>Raps-Komposition mit Paraffinanteil, </span>Baumwolldocht, Metallmünze<strong><br></strong><strong>Farbe:</strong> ungefärbt<br><strong>Größe:</strong> 10cm<br><strong>Brenndauer: </strong>50h+<br><strong>Geruch: </strong>neutral</p>",Candles Of Wisdom,,Candle Object,"candle, coin, free, handmade, Kerze, noplastic, objectcandle, sustainable",true,Title,Default Title,,,,,WISDOM-SUN,610.0,shopify,18,deny,manual,39.90,,true,true,'4170000002000,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/201109_main-shot6.gif?v=1650309310,1,Sonnenkerze Sun Candle,false,Sun Candle - Die Sonnenkerze von Candles Of Wisdom ,"Die Sonnenkerze spielt auf eine faszinierende Art und Weise mit der Transluzenz des Wachses. Durch eine ausgeklügelte Formgebung leuchtet die Kerze wie eine Sonne und kreiert eine außergewöhnlich&nbsp;warme Atmosphäre im Raum. Das flackernde Licht fesselt deinen Blickund lässt ihn nicht mehr los. Auch in der Sonnenkerze wartet eine verborgene Botschaft auf dich. Nach dem Abbrennen kommt eine Glücksmünze zum Vorschein, die Weisheiten nach dem Glückskeks-Prinzip beinhaltet. Material: Rapswachs Komposition mit Paraffinanteil, Baumwolldocht, MetallmünzeFarbe:&nbsp;naturbelassen und ungefärbtGröße:&nbsp;10cmBrenndauer: 50h Geruch: neutral",,,,,,,,,,,,,,,kg,,4.20,active
sun-candle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/201116_suncandle_02.jpg?v=1650309310,2,Sun Candle Sonnenkerze - Candles of Wisdom,,,,,,,,,,,,,,,,,,,,,
sun-candle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Sun-Candle-Candles-of-Wisdom-04.jpg?v=1650309310,3,,,,,,,,,,,,,,,,,,,,,,
sun-candle,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0002/7502/1865/products/Sun-Candle-Candles-of-Wisdom-03.jpg?v=1650309310,4,,,,,,,,,,,,,,,,,,,,,,
